49.032934,-121.922877
49.033012,-121.922878
49.033083,-121.922871
49.033159,-121.922842
49.033179,-121.922829
49.033203,-121.922807
49.033227,-121.922780
49.033297,-121.922683
49.033312,-121.922655
49.033354,-121.922577
49.033420,-121.922504
49.033479,-121.922468
49.033500,-121.922466
49.033546,-121.922464
49.033604,-121.922485
49.033648,-121.922518
49.033816,-121.922628
49.033838,-121.922639
49.033876,-121.922654
49.033928,-121.922670
49.033987,-121.922681
49.034147,-121.922703
49.034311,-121.922725
49.034438,-121.922743
49.034474,-121.922748
49.034527,-121.922755
49.034584,-121.922756
49.034628,-121.922747
49.034659,-121.922729
49.034692,-121.922705
49.034718,-121.922675
49.034809,-121.922553
49.034861,-121.922517
49.034906,-121.922498
49.034979,-121.922511
49.035009,-121.922535
49.035041,-121.922585
49.035073,-121.922652
49.035094,-121.922741
49.035102,-121.922827
49.035087,-121.922919
49.035066,-121.922991
49.035033,-121.923050
49.035005,-121.923083
49.034953,-121.923204
49.034911,-121.923307
49.034874,-121.923409
49.034836,-121.923523
49.034793,-121.923665
49.034758,-121.923822
49.034728,-121.923981
49.034708,-121.924142
49.034695,-121.924289
49.034683,-121.924518
49.034677,-121.924678
49.034673,-121.924901
49.034672,-121.925129
49.034691,-121.927103
49.034691,-121.927103
